Year,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Awards
2021,25,MIN,AL,73,216,200,19,48,9,1,4,23,10,1,12,55,.240,.292,.355,.647,80,71,7,3,0,1,0,846H7/59,
2022,26,MIN,AL,44,131,122,14,31,6,3,1,7,3,2,5,33,.254,.295,.377,.672,98,46,2,2,2,0,0,*78/6H4D1,
